SD_SUB_SYSTEM,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description
3000-02,PI,3000-02-SG-05-711,PI_TP,C,DEM WATER ANALYZ ATTACH
3000-02,PI,3000-02-SG-05-711,PI_TP,C,SPRING SUPPORT SP-3451 | 3464 NIS. SHALL BE INSTALL BEFORE PRECOMM
3000-02,PI,3000-02-SG-05-711,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
3000-02,PI,3000-02-SG-09-897,PI_TP,C,PMI SHALL BE DONE BEFORE PRECOMM
3000-02,PI,3000-02-SG-10-390,PI_TP,C,ALL SPRING SUPPORTS (SP: 3452| 3453| 3454) SHALL BE INSTALL
3000-02,PI,3000-02-SG-10-390,PI_TP,C,ALL INSTRUMENT DEVICE (PIT: 30184 | TT: 31067 AND  TE:31067B) SHALL BE INSTALL BEFORE REINSTATE
3000-02,PI,3000-02-SG-10-390,PI_TP,C,THE APPROVED WATER (DEM) ANALYSIS SHOULD BE ATTACHED TO THE PACKAGE
3000-02,PI,3000-02-SG-14-940,PI_TP,C,THE APPROVED WATER ANALYSIS (DEM) SHOULD BE ATTACHED TO THE PACKAGE
3000-02,PI,3000-02-SG-15-941,PI_TP,C,THE APPROVED WATER ANALYSIS (DEM) SHOULD BE ATTACHED TO THE PACKAGE
3000-02,PI,3000-02-VA-01-557,PI_TP,C,ORIGINAL GASKET DIDN’T INSTALL ACCORDING TO PRECOMM NOTE ON P&ID
3000-03,PI,3000-03-CD-01-811,PI_TP,C,THE MATERIAL USED AND SOME JOINTS SHOULD BE PMI TO CONFIRM THE MATERIAL
3000-03,PI,3000-03-CD-02-812,PI_TP,B,ALL ORIGINAL B|N|G SHALL BE INSTALLED AFTER TEST
3000-03,PI,3000-03-CD-02-812,PI_TP,B,IN ORDER TO RECIVE THE REINSTATMENT THE LINE MUST BE PERFECTLY ALIGHNED THE END PIPE SHOULD BE INSTALLED IN THE CENTER OF THE FUNNEL AND THE FLANGES MUST BE INSTALLED WITHOUT TENSION TO THE FLANGE UG AND GLOBE VALVE
3000-03,PI,3000-03-CD-02-812,PI_TP,C,"THE INSULATION KIT 4""-150# ITEM MUST BE INSTALLED BEFORE THE PRECOMM"
3000-03,PI,3000-03-LPS-04-976,PI_TP,C,ALL ORIGINAL B|N|G SHALL BE INSTALL BEFORE REINSTATE
3000-03,PI,3000-03-PG-01-471,PI_TP,C,"All Gaskets (Spiral Wound) 6""-300# And Stud Bolts 3/4*155 Should Be Installed After (Calibration) PSV :3196|3197|3206"
3000-03,PI,3000-03-PG-01-471,PI_TP,C,PSV-3196 AND PSV-3197 MUST BE INSTALLED AFTER TEST
3000-03,PI,3000-03-PG-01-471,PI_TP,C,PSV-3206 MUST BE INSTALLED AFTER TEST
3000-03,PI,3000-03-PG-02-655,PI_TP,C,All Instrument Devices Must Be Installed Before The Precom (TI-2536|PT-2536|FT-2536|FV-2536|AP-2539|PG-2539|AT-2532|USV-2544 And 2545)
3000-03,PI,3000-03-PG-02-655,PI_TP,C,The instrument Item (SL-2536) Should Be Installed Before The Precom
3000-03,PI,3000-03-PG-02-655,PI_TP,C,"According To The Conditions Of Globe Valve 14""-150# And The Fluid Path The Valve Handle Is Located On The Eastern Side Of The Site Which Is Not Suitable For The Operator There Fore The Contractor According To The Opinion Of The Precommissining Group Or *"
3000-03,PI,3000-03-PG-02-655,PI_TP,C,"All Pressure Safty Valves (10""x8"") Must Be Installed With Temporary Gaskets Befre Reinstatment Also They Must Be Calibrated Before Precom"
3000-03,PI,3000-03-PG-03-656,PI_TP,C,ALL INSTRUMENT DEVICE SHALL BE INSTALL BEFORE PRECOMM
3000-03,PI,3000-03-PG-03-656,PI_TP,C,DEM WATER CERTIFICATE SHALL BE ATTACH TO THE PACKAGE
3000-03,PI,3000-03-PG-03-656,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
3000-03,PI,3000-03-PMC-01-469,PI_TP,C,ITEM NO : 8|9|10 (LST-3161A|B|C) MUST BE INSTALLED BRFORE PRECOM
3000-03,PI,3000-03-PMC-01-469,PI_TP,C,Item no :G5 And B6 Shall be Used When Installing The (LST:3161A/B/C)
3000-03,PI,3000-03-PMC-02-707,PI_TP,C,Item 5 ( Hose Coupling ) SHOULD BE INSTALLED BEFORE Comm
3000-03,PI,3000-03-PMC-02-707,PI_TP,C,Item 5 ( Hose Coupling ) SHOULD BE INSTALLED BEFORE Comm
3000-03,PI,3000-03-PMC-03-708,PI_TP,C,(PG-3191) SHOULD BE INSTALLED BEFORE Comm
3000-03,PI,3000-03-PMC-03-708,PI_TP,C,(FO-3191) SHOULD BE INSTALLED BEFORE Comm
3000-03,PI,3000-03-PMC-04-709,PI_TP,C,"the Insulation Kit 4""-150# RF Item Must be Installed Before Precom"
3000-03,PI,3000-03-PMC-05-710,PI_TP,C,"the Insulation Kit 4""-150# RF Item Must be Installed Before Precom"
3000-03,PI,3000-03-PMC-06-778,PI_TP,C,ORIGINAL GASKET BEFORE GATE VALVE DIDN’T INSTALL
3000-03,PI,3000-03-PMC-09-833,PI_TP,C,(LST-3192A) SHOULD BE INSTALLED BEFORE Precom
3000-03,PI,3000-03-PMC-09-833,PI_TP,C,(LST-3192C) SHOULD BE INSTALLED BEFORE Precom
3000-03,PI,3000-03-PMC-09-833,PI_TP,C,(LST-3192B) SHOULD BE INSTALLED BEFORE Precom
3000-03,PI,3000-03-PMC-09-833,PI_TP,C,(LG-3193) SHOULD BE INSTALLED BEFORE Precom
3000-03,PI,3000-03-PMC-09-833,PI_TP,C,J:1TN Shall Be Worked Before comm
3000-03,PI,3000-03-PMC-10-834,PI_TP,C,DEM WATER ANALYSIS SHALL BE ATTACH
3000-03,PI,3000-03-PMC-10-834,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
3000-03,PI,3000-03-PMC-10-834,PI_TP,C,ALL TEMPRORY GASKETS USED FOR THE LEVEL GAUGE 3162 FLANGES MUST BE REPLACED WITH THE ORIGINAL GASKET
3000-03,PI,3000-03-PMC-11-835,PI_TP,C,"THE INSTRUMENT DEVICE ITEM (FO-3191-12""-CL:900-RTJ) MUST BE INSTALLED"
3000-03,PI,3000-03-PMC-11-835,PI_TP,C,DEM WATER ANALYSIS SHALL BE ATTACH
3000-03,PI,3000-03-PMC-11-835,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
3000-03,PI,3000-03-SG-01-463,PI_TP,C,ITEM 18 (TI3150) SHALL BE INSTALLED AFTER
3000-03,PI,3000-03-SG-01-463,PI_TP,C,A WATER SAMPLE (DMW) INSIDE THE LINE FOR ANALYSIS AND CERTIFIED CERTIFICATE SHOULD BE ATTACHED TO THE PACKAGE AFRET THE HYDROTEST
3000-03,PI,3000-03-SG-01-463,PI_TP,C,A NMUMBER OD BW AND SUPPORTS WELDED TO THE PIPE SHOULD BE PMI FOR MATERIAL APPROVAL
3000-03,PI,3000-03-SG-01-463,PI_TP,C,G14 & B17 SHOULD BE INSTALLED BEFORE COMM
3000-03,PI,3000-03-SG-02-464,PI_TP,C,A WATER SAMPLE (DMW) INSIDE LINES FOR ANALYSIS AND CERTIFICATE MUST BE ATTACHED TO THE PACKAGE
3000-03,PI,3000-03-SG-02-464,PI_TP,C,(TI-3147) SHOULD BE INSTALLED BEFORE PRECOM
3000-03,PI,3000-03-SG-02-464,PI_TP,C,PMI SHALL BE DONE BEFORE PRECOM
3000-03,PI,3000-03-SG-03-465,PI_TP,C,(TI-3144) SHOULD BE INSTALLED BEFORE PRECOM
3000-03,PI,3000-03-SG-03-465,PI_TP,C,PMI SHALL BE DONE BEFORE PRECOM
3000-03,PI,3000-03-SG-04-552,PI_TP,C,SPRING SUPPORT SHALL BE INSTALL
3000-03,PI,3000-03-SG-04-552,PI_TP,C,S3 NEED TO INSTALL SHIM PLATES AND SPRING SUPPORTS SHALL BE INSTALL
3000-03,PI,3000-03-SG-04-552,PI_TP,C,S3 NEED TO INSTALL SHIM PLATES AND SPRING SUPPORTS SHALL BE INSTALL
3000-03,PI,3000-03-SG-04-552,PI_TP,C,DEM WATER CERTIFICATE SHALL BE ATTACH TO THE PACKAGE
3000-03,PI,3000-03-SG-04-552,PI_TP,C,ACCORDING TO MATERIAL REQUEST ALL MSPRING SUPPORT DIDN’T INSTALL. REQ RREP IS ATTACHED
3000-03,PI,3000-03-SG-04-552,PI_TP,C,S1 PAVING AND GROUTING SHALL BE COMPELETE
3000-03,PI,3000-03-SG-05-600,PI_TP,C,THE INSTRUMENT DEVICE (TI:3142) SHALL BE INSTALLED BEFORE PRECOMM
3000-03,PI,3000-03-SG-05-600,PI_TP,C,SPRING SUPPORT (SP-2001|2002-TYPE 60) SHALL BE INSTALL NIS
3000-03,PI,3000-03-SG-07-602,PI_TP,C,THE INSTRUMENT DEVICE (TI-3148) SHALL BE INSTALLED BEFORE PRECOMM
3000-03,PI,3000-03-SG-07-602,PI_TP,C,SPRING SUPPORT DIDN’T INSTALL ACCORDING TO MATERIAL SHORTAGE
3000-03,PI,3000-03-SG-07-602,PI_TP,C,SPRING SUPPORT DIDN’T INSTALL ACCORDING TO MATERIAL SHORTAGE
3000-03,PI,3000-03-SG-08-702,PI_TP,C,THE APPROVED WATER (DEM) ANALYSIS SHALL BE ATTACH TO THE PACKAGE
3000-03,PI,3000-03-SG-08-702,PI_TP,C,PSV ORIGINAL GASKET DIDN INSTALL ACCORDING TO PRECOMM COMMENT
3000-03,PI,3000-03-SG-09-822,PI_TP,C,DEM WATER ANALYSIS SHALL BE ATTACH
3000-03,PI,3000-03-SG-09-822,PI_TP,C,ALL INSTRUMENT DEVICES SHALL BE INSTALLED (PT-3166|2607)(PG-3165) AND (TI-3164|2607) AND (PDI-3024) AND (AP-3019) AND (FT-3171|3169|2607)
3000-03,PI,3000-03-SG-09-822,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
3000-03,PI,3000-03-SG-09-822,PI_TP,C,THE TEMPORARY GASKET USED FOR NOZZLE D:3001/B1 MUST BE REPLACED WITH ORIGINAL GASKET
3000-03,PI,3000-03-SG-09-822,PI_TP,C,GROUTING OF THE BASE PLATE SUPPORTS SHALL BE COMPELETE
3000-03,PI,3000-03-SG-09-822,PI_TP,C,"STUD BOLT 1.3/8""*390-B7-GALV 40PCS SHALL BE INSTALL NIS"
3000-03,PI,3000-03-SG-09-822,PI_TP,C,"STUD BOLT 1.3/8""*390-B7-GALV 40PCS SHALL BE INSTALL NIS"
3000-03,PI,3000-03-SG-09-822,PI_TP,C,"STUD BOLTS 2.1/2""*573 20 PCS AND 2.1/2*480 6 PCS NIS | SHALL BE INSTALL"
3000-03,PI,3000-03-SG-10-896,PI_TP,B,ALL ORIGINAL B|N|G SHALL BE INSTALL AFTER HYDRO TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,B,ALL TEMPORARY SUPPORT SHALL BE REMOVED AFTER TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,B,ALL ORIGINAL SUPPORT SHALL BE INSTALLED AFTER TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,B,HISTORY SHEET SHALL BE CHANGED AFTER TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,B,J: TP1 | TP2 | TP3 SHALL BE REWELDED AFTER TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,B,J:1TN SHALL BE WELDED AFTER TEST AND NDT SHALL BE DONE
3000-03,PI,3000-03-SG-10-896,PI_TP,B,J:1TN SHALL BE WELDED AFTER TEST AND NDT SHALL BE DONE
3000-03,PI,3000-03-SG-10-896,PI_TP,B,J: TP1  SHALL BE REWELDED AFTER TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,C,ITEM 16 (TI 3111) SHOULD BE INSTALLED BEFORE COMM
3000-03,PI,3000-03-SG-10-896,PI_TP,B,J:1TN SHALL BE WELDED AFTER TEST AND NDT SHALL BE DONE
3000-03,PI,3000-03-SG-10-896,PI_TP,B,J: TP2  SHALL BE REWELDED AFTER TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,B,J:1TN SHALL BE WELDED AFTER TEST AND NDT SHALL BE DONE
3000-03,PI,3000-03-SG-10-896,PI_TP,B,J: TP2  SHALL BE REWELDED AFTER TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,B,J: TP2  SHALL BE REWELDED AFTER TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,B,J:1TN SHALL BE WELDED AFTER TEST AND NDT SHALL BE DONE
3000-03,PI,3000-03-SG-10-896,PI_TP,C,ITEM 16 (AP 3022) SHOULD BE INSTALLED BEFORE COMM
3000-03,PI,3000-03-SG-10-896,PI_TP,B,F9 ( BLIND FLANGE 1500# RTJ) SHALL BE INSTALLED AFTER TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,C,(PT 3023) AND (PDT 3024) SHALL BE INSTALL AFTER
3000-03,PI,3000-03-SG-10-896,PI_TP,B,BETWEEN J:19 & J:22 LINE SHALL BE FIXED BY SUPPORT
3000-03,PI,3000-03-SG-10-896,PI_TP,B,F7 SHALL BE INSTALLED AFTER TEST
3000-03,PI,3000-03-SG-10-896,PI_TP,C,THE RESULT OF DEM WATER ANALUSIS AND A CERTIFICATE MUST ATTACH TO THE PACKAGE
3000-04,PI,3000-04-HG-03-849,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
3000-04,PI,3000-04-HG-03-849,PI_TP,C,THE GROUTING UNDER OF THE BASE PLATE SUPPORT SHOULD BE DONE BEFORE PRECOMM
3000-04,PI,3000-04-HG-03-849,PI_TP,C,THE VENT HOLE OF THE DUMMY AND FLOOR STAND SUPPORTS SHALL BE FILLED WITH MASTIC
3000-04,PI,3000-04-HG-03-849,PI_TP,C,S10 BY VENDOR SUPPORT MUST BE INSTALLED BEFORE PRECOMM
3000-04,PI,3000-04-HG-05-654,PI_TP,C,ALL INSTRUMENT DEVICES MUST BE INSTALLED (PG:2606 & PT:2608)
3000-04,PI,3000-04-HG-05-654,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
3000-04,PI,3000-04-HG-05-654,PI_TP,C,ALL TEMPORARY GASKET USED FOR THE PSV SHALL BE ORIGINAL GASKET REPLACED AFTER CALIBRATED
2000-06,PI,4000-01-N-03-645,PI_TP,C,Final Alignment Of Flange J:1 Shall Be Done Before Comm
2000-06,PI,4000-01-N-03-645,PI_TP,C,(PT-25107) SHOULD BE INSTALLED BEFORE Comm
2000-06,PI,4000-01-N-03-645,PI_TP,C,(TST-2579) SHOULD BE INSTALLED BEFORE Comm
2000-06,PI,4000-01-N-03-645,PI_TP,C,Item 5 | Item 6 And Item 7 SHOULD BE INSTALLED BEFORE Comm
2000-06,PI,4000-01-N-03-645,PI_TP,C,Item 11 And Item 12 SHOULD BE INSTALLED BEFORE Comm
2000-06,PI,4000-01-N-03-645,PI_TP,C,Item 9 (Cap SC 3000#) J:54 SHOULD BE INSTALLED BEFORE Comm
2000-06,PI,4000-01-N-03-645,PI_TP,C,The Spring Support (SP-3301) Not Installed Should Be Installed Before Pre Com (NIS)
2000-06,PI,4000-01-N-04-646,PI_TP,C,ALL INSTRUMENT DEVICES MUST BE INSTALLED BEFORE THE PRECOMM
2000-06,PI,4000-01-N-04-646,PI_TP,C,"ALL SPIRAL WOUND GASKETS 1 1/2"" AND STUD BOLTS 3/4*100 SHOULD BE INSTALLED AFTER THE INSTRUMENT DEVICE (TI : 25109| TG : 2574 AND TI l 2572)"
2000-06,PI,4000-01-N-04-646,PI_TP,C,FLANGE j:42 AND NOZZEL C-2001-N SHALL BE DONE PARRALEL BEFORE COMM
2000-06,PI,4000-01-N-04-646,PI_TP,C,G8 SHOULD BE INSTALLED BEFORE COMM
2000-06,PI,4000-01-N-04-646,PI_TP,C,G8 SHOULD BE INSTALLED BEFORE COMM
2000-06,PI,4000-01-N-04-646,PI_TP,C,G10 SHOULD BE INSTALLED BEFORE COMM
4000-01,PI,4000-01-N-06-920,PI_TP,C,THE J:22TN SHOULD BE FITUP AND WELD AND RT AFTER THE INSTALLATION OF THE LABORATORY EQUIPMENT AFTER ALIGNING THE HEIGHT AND LENGTH
4000-01,PI,4000-01-N-07-945,PI_TP,C,ANNUBAR FLOW ELEMENT DIDN’T INSTALL SHALL BE INSTALL
4000-01,PI,4000-01-N-07-945,PI_TP,C,THE INSTRUMENT DEVICE (FT:2582) SHALL BE INSTALLED BEFORE PRECOMM
4000-01,PI,4000-01-N-08-958,PI_TP,C,ORIGINAL B|N|G CONNECTION TO PUMP DIDN’T INSTALL
4000-01,PI,4000-01-N-09-978,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
4000-01,PI,4000-01-N-09-978,PI_TP,C,"HOSE COUPLING (N) 3/4""-NPT-CL:3000 SHALL BE INSTALL AND J:19TN SHALL BE WORK AND HISTORY UPDATE"
4000-01,PI,4000-01-N-09-978,PI_TP,B,HOSE COUPLING CONNECTIN SHALL BE INSTALL
4000-01,PI,4000-01-N-11-980,PI_TP,C,WATER DEM ANALYSIS SHALL BE ATTACH TO PACKAGE
4000-01,PI,4000-01-N-12-981,PI_TP,C,J:1ATN SHALL BE WELDED OR BE CLOSED AFTER INSTALLING HOSE COUPLING
4000-01,PI,4000-01-N-12-981,PI_TP,C,HISTORY SHEET MUST BE UPDATE
4000-01,PI,4000-01-N-12-981,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
4000-01,PI,4000-01-N-13-982,PI_TP,C,AFTER INSTALLING THE HS-003 THE J:21TN SHALL BE FITUP AND WELD AND HISTORY UPDATE
4000-01,PI,4000-01-VA-01-474,PI_TP,C,GROUTING SHALL BE COMPELETE
4000-01,PI,4000-01-VA-02-556,PI_TP,C,ORIGINAL GASKET FOR FLANGE PSV SHOULD BE REPLACED BEFORE REINSTATE
4000-02,PI,4000-02-BFW-02-870,PI_TP,C,THIS LINE NEED TO PMI TEST
4000-02,PI,4000-02-BFW-02-870,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
4000-02,PI,4000-02-BFW-06-874,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
4000-02,PI,4000-02-HPC-02-696,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
4000-02,PI,4000-02-HPC-02-696,PI_TP,C,GROUTING OF THE BASE PLATE SUPPORTS MUST BE COMPELETE
4000-02,PI,4000-02-HPC-04-999,PI_TP,C,All valves shall be lubricate
4000-02,PI,4000-02-HPS-01-208,PI_TP,C,ALL INSTRUMENT DEVICE SHAOULD BE INSTALLED BEFORE THE PRECOM (TI-7021 | PT-7021| TG-7022 AND PG-7022
4000-02,PI,4000-02-HPS-01-208,PI_TP,C,J:10 ORIGINAL GASKET SHALL BE INSTALLED AFTER REINSTATMENT
4000-02,PI,4000-02-HPS-03-386,PI_TP,C,دایرکشن  کلیه ولو ها از لحاظ دسترسی اپراتور تغییر گردید با نظر مهندس آرایش
4000-02,PI,4000-02-HPS-03-386,PI_TP,C,PG 3083 SHALL BE INSTALL
4000-02,PI,4000-02-HPS-03-386,PI_TP,C,INDICATOR 3084 SHALL BE INSTALL
4000-02,PI,4000-02-HPS-03-386,PI_TP,C,VALVE HAND WHEEL MDIRECTION INCORRECT WITH ISO. SHALL BE CHANGE BY PRECOMM
4000-02,PI,4000-02-HPS-03-386,PI_TP,C,VALVE HAND WHEEL MDIRECTION INCORRECT WITH ISO. SHALL BE CHANGE BY PRECOMM
4000-02,PI,4000-02-HPS-03-386,PI_TP,C,VALVE HAND WHEEL MDIRECTION INCORRECT WITH ISO. SHALL BE CHANGE BY PRECOMM
4000-02,PI,4000-02-HPS-05-610,PI_TP,C,ORIFICA PLATE SHALL BE INSTALL
4000-02,PI,4000-02-HPS-05-610,PI_TP,C,ALL V ALVES SHALL BE LUBRICATE
4000-02,PI,4000-02-HPS-05-610,PI_TP,C,ORIGINAL GASKET OF CHECK VALVE AND PSV SHALL BE INSTALL
4000-02,PI,4000-02-HPS-05-610,PI_TP,C,SPRING SUPPORT SP-1408-TYPE-60 SHALL BE INSTALL BEFORE PRECOMM NIS
4000-02,PI,4000-02-HPS-05-610,PI_TP,C,STUD BOLT 1.5/8*656-20PCS SHALL BE INSTALL BEFORE PRECOMM NIS
4000-02,PI,4000-02-HPS-06-717,PI_TP,C,The Instrument Device (FT-7129 And 7134) Must Be Installed Before The Precom
4000-02,PI,4000-02-HPS-06-717,PI_TP,C,(SP-3622 Type 60) And (SP-3621 type21) SHOULD BE INSTALLED BEFORE com (NIS)
4000-02,PI,4000-02-HPS-06-717,PI_TP,C,Gasket & Bolt | Nut 7 Orifice Plate SHOULD BE INSTALLED BEFORE Com
4000-02,PI,4000-02-HPS-06-717,PI_TP,C,Weld Of Support No 6.1 Shall Be Compelated Before Com
4000-02,PI,4000-02-HPS-06-717,PI_TP,C,G12 (Orginal) SHOULD BE INSTALLED BEFORE Com
4000-02,PI,4000-02-HPS-06-717,PI_TP,C,G12 (Orginal) SHOULD BE INSTALLED BEFORE Com
4000-02,PI,4000-02-HPS-07-718,PI_TP,C,ALL INSTRUMENT DEVICE SHALL BE INSTALL (FT:7129 | 7134 & TG:7128 | 7133)
4000-02,PI,4000-02-HPS-07-718,PI_TP,C,ALL TEMPORARY GASKETS USED FOR NOZZLE PUMPS AND STEAM TRAPS AND … MUST BE REPLACED WITH ORIGINAL GASKETS
4000-02,PI,4000-02-HPS-07-718,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
4000-02,PI,4000-02-HPS-07-718,PI_TP,C,ALL TEMPORARY GASKET USED FOR TURBIN INLETVFLANGES MUST BE REPLACES WITH ORIGINAL GASKETS
4000-02,PI,4000-02-HPS-07-718,PI_TP,C,SP-3627 | 3628 & RS-3601 | 3602 SHALL BE INSTALLED BEFORE PRECOMM NIS ALSO SP:3623 | 3626
4000-02,PI,4000-02-HPS-07-718,PI_TP,C,GATE VALVE CHANE AND GLOBE VALVE MUST BE INSTALL BEFORE PRECOMM. ALSO THE VALVE HANDLE ARE NOT INSTALL AND COMPELETE
4000-02,PI,4000-02-HPS-10-391,PI_TP,C,ORIGINAL GASKET DIDN’T INSTALL ACCORDING TO PRECOM NOTE ON P&ID
4000-02,PI,4000-02-HPS-11-925,PI_TP,C,All Instrumentation Devices Should Be Installed Before The Precom . (FT-8005|8006&TG-8006|8007&PG-8022|8023)
4000-02,PI,4000-02-HPS-11-925,PI_TP,C,Instead Of The Size Of The Orifice Flanges | The Worked Nipples Should Be Fitup | Welding And RT Before The Reinstatment (J:67TN~74TN AND J:69TN~76TN)
4000-02,PI,4000-02-HPS-11-925,PI_TP,C,Welding Joints:67TN~74TN Instalation Flange Orifice
4000-02,PI,4000-02-HPS-11-925,PI_TP,C,Welding Joints:69TN~76TN Instalation Flange Orifice
4000-02,PI,4000-02-HPS-11-925,PI_TP,C,All Spring Supports Should Be Installed Before The Pre Com (SP-3901|SP-3902|SP-3903|SP-3904|SP-3905|SP-3906 And SP-3907)
4000-02,PI,4000-02-HPS-11-925,PI_TP,C,Due To The Non Alignment Of The Pumps | A Temporary Gasket Has Been Used For The Spool Flange Connected To the Pumpe Nozzle The Original Gaskets Must Be Replaced After Aligning And Before Pre Com
4000-02,PI,4000-02-HPS-11-925,PI_TP,C,Due To The Non Alignment Of The Pumps The Support Type FS125-6-H Are Not Fully Welded The Must Be Fully Welded After Aligning And Before Pre Com
4000-02,PI,4000-02-HPS-11-925,PI_TP,C,The Paving Of The Area Is Not Ready Fore The Seat Of The Line Supports And It Is Not Possible Restrain The Installed Supports . Should Be Paving Of The Area Done And Base Plates Installed Before Pre Com
4000-02,PI,4000-02-HPS-12-926,PI_TP,C,AFTER STEAM OUT (STEAM TRAP) SHOULD BE TEMPORARY GASKET REMOVED AND REPLACED BY ORIGINAL GASKET
4000-02,PI,4000-02-HPS-12-926,PI_TP,C,STEAM TRAP DIDN’T INSTALL
4000-02,PI,4000-02-HPS-13-994,PI_TP,C,INSTRUMENT INDICATOR TIC 7026 SHALL BE INSTALL
4000-02,PI,4000-02-HPS-13-994,PI_TP,C,LINE NEED TO PMI TEST
4000-02,PI,4000-02-HPS-13-994,PI_TP,C,DEM WATER ANALYSIS SHALL BE ATTACH
4000-02,PI,4000-02-HPS-13-994,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
4000-02,PI,4000-02-HPS-14-970,PI_TP,C,ORIGINAL B|N|G SHALL BE INSTALL
4000-02,PI,4000-02-HPS-14-970,PI_TP,C,INSTRUMENT INDICATOR SHALL BE INSTALL
4000-02,PI,4000-02-HPS-14-970,PI_TP,C,ORIFICE PLATE SHALL BE INSTALL
4000-02,PI,4000-02-HPS-14-970,PI_TP,C,ALL TEMPORARY GASKET USED FOR FV:202 AND OTHER ITEMES SHOULD BE ORIGINAL GASKETS REPLACED
4000-02,PI,4000-02-HPS-15-995,PI_TP,C,LINE NEED TO PMI TEST
4000-02,PI,4000-02-HPS-15-995,PI_TP,C,DEM WATER ANALYSIS SHALL BE ATTACH
4000-02,PI,4000-02-HPS-15-995,PI_TP,C,INSTRUMENT INDICATOR TIC 7027 SHALL BE INSTALL
4000-02,PI,4000-02-HPS-15-995,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
4000-02,PI,4000-02-HPS-18-1024,PI_TP,C,ALL INSTRUMENT INDICATOR SHALL BE INSTALL
4000-02,PI,4000-02-HPS-18-1024,PI_TP,C,ORIGINAL GASKET FOR STEAM TRAP SHALL BE INSTALL AFTER STEAMING OUT
4000-02,PI,4000-02-HPS-18-1024,PI_TP,C,ALL TEMPORARY GASKETS INSTALLED FOR FLANGES SHALL BE REPLACED WITH ORIGINAL GASKETS BEFORE PRECOMM
4000-02,PI,4000-02-HPS-18-1024,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
4000-02,PI,4000-02-HPS-18-1024,PI_TP,C,STEAM TRAPS MUST BE INSTALL WITH ORIGINAL GASKETS ALSO THE FLANGES MUST BE CONNECTED TO THE OPOSITE LINE WITHOUT ANR MISMATCH. AND ALSO STUD BOLTS
4000-02,PI,4000-02-HPS-18-1024,PI_TP,C,STEAM TRAPS MUST BE INSTALL WITH ORIGINAL GASKETS ALSO THE FLANGES MUST BE CONNECTED TO THE OPOSITE LINE WITHOUT ANR MISMATCH. AND ALSO STUD BOLTS
4000-02,PI,4000-02-HPS-18-1024,PI_TP,C,THE TEMPORARY GASKET USED FOR USV-2021 MUST BE REPLACED WITH ORIGINAL GASKETS
4000-02,PI,4000-02-HPS-19-853,PI_TP,C,3 WAY VALVE IN LINE TZ 7025 & ORIFICE PLATE FE 7030 & INSTRUMENT INDICATOR 7025 SHGALL BE INSTA;;
4000-02,PI,4000-02-HPS-19-853,PI_TP,C,INSTRUMENT INDICATOR SHALL BE INSTALL PT:7028
4000-02,PI,4000-02-HPS-19-853,PI_TP,C,ALL TEMPORARY GASKET MUST BE REPLACED WITH THE ORIGINAL GASKETS
4000-02,PI,4000-02-HPS-19-853,PI_TP,C,ALL VALVES SHALL BE LUBRICATE
4000-02,PI,4000-02-LPS-02-367,PI_TP,C,(LT 5308) SHALL BE INSTALLED AFTER TEST
4000-02,PI,4000-02-LPS-02-367,PI_TP,C,(LT 5310) AND (PG 5303) SHALL BE INSTALLED AFTER
4000-02,PI,4000-02-LPS-02-367,PI_TP,C,GROUTING OF SUPPORT S2 & 6X & 7X SHALL BE DONE BEFORE COMM
4000-02,PI,4000-02-LPS-02-367,PI_TP,C,STEAM TRAP SHALL BE INSTALLED WITH ORIGINAL B | G BEFORE PRECOMM
4000-02,PI,4000-02-LPS-02-367,PI_TP,C,DUE TO MATERIAL REQUEST (1402.09.08) BOLTS OF ORIFE FLANGE ARE NIS. BOLTS SHALL BE INSTALLED AFTER
4000-02,PI,4000-02-LPS-02-367,PI_TP,C,GROUTING OF SUPPORT 8.2 SHALL BE DONE BEFORE COMM
